gene	avg_len	min_len	max_len	cpm	tpm	is_polyA	r_ispolyA
A1BG	2149.5	917.0	3382.0	1.3692585704461284	6.1381	True	True
A1CF	6475.2	885.0	9517.0	0.0	0.1271802000831274	True	True
A2M	1604.0	590.0	4610.0	0.0	0.1470205	True	True
A2ML1	2354.2	462.0	5127.0	0.0	0.743387	True	True
A3GALT2	1023.0	1023.0	1023.0	0.0	0.0	True	True
A4GALT	2097.0	1956.0	2321.0	0.0	0.0	True	False
A4GNT	1779.0	1779.0	1779.0	0.0	0.0	True	True
AAAS	1714.2	1109.0	2292.0	109.54068563569028	76.65000000236708	True	True
AACS	2245.5	1235.0	3256.0	30.808317835037887	8.82687	True	True
AADAC	1141.0	719.0	1563.0	0.0	0.0	True	True
AADACL2	4954.0	4848.0	5060.0	0.0	0.236615	True	True
AADACL3	4055.0	4055.0	4055.0	0.0	0.0389429	True	True
AADACL4	1575.0	1575.0	1575.0	0.0	0.0	True	True
AADAT	1575.4	755.0	2250.0	9.584809993122898	11.4684883	True	True
AAGAB	1740.2	563.0	3132.0	137.95280097244736	87.91483400000001	True	True
AAK1	6495.5	728.0	21157.0	16.43110284535354	29.982906	True	True
AAMDC	578.0	421.0	726.0	1.3692585704461284	33.759217	True	True
AAMP	1347.6	671.0	1804.0	290.6251315771907	119.01827	True	True
AANAT	1039.5	478.0	1913.0	0.0	0.266035	True	True
AAR2	2190.7	1466.0	2689.0	194.0924023607387	42.84642	True	True
AARD	2291.0	2291.0	2291.0	0.6846292852230642	1.91439	True	True
AARS1	3534.4	2656.0	4348.0	144.114464539455	82.95416643212118	True	True
AARS2	4798.0	4798.0	4798.0	34.23146426115321	21.2133	True	True
AARSD1	803.8	562.0	1320.0	85.23634601027149	86.82965599999999	True	True
AASDH	3199.4	2949.0	3581.0	6.161663567007578	9.859605	True	True
AASDHPPT	1304.0	568.0	2767.0	137.26817168722437	72.24473	True	True
AASS	3165.6	722.0	5825.0	4.450090353949917	5.937163	True	True
AATF	953.2	502.0	2062.0	82.15551422676772	75.968678	True	True
AATK	3441.1	475.0	11898.0	0.0	0.241543	True	True
ABAT	1948.5	466.0	5586.0	3.080831783503789	4.152702	True	True
ABCA1	4290.3	923.0	10408.0	0.0	0.9587053	True	True
ABCA10	3190.6	362.0	6362.0	0.0	0.4606239	True	True
ABCA12	5596.0	485.0	9298.0	0.0	0.07334550000000001	True	True
ABCA13	6300.7	463.0	17188.0	0.0	0.62149887	True	True
ABCA2	5183.0	371.0	8154.0	2.738517140892257	4.378528313176614	True	True
ABCA3	4751.0	1205.0	6602.0	1.0269439278345962	0.9182450000000001	True	True
ABCA4	4724.3	3105.0	7328.0	0.6846292852230642	0.707112	True	True
ABCA5	2894.3	560.0	8252.0	0.0	3.10965673	True	True
ABCA6	3416.0	1511.0	5321.0	0.0	0.0	True	True
ABCA7	2007.2	512.0	6815.0	2.053887855669193	9.017181	True	True
ABCA8	3896.8	509.0	6002.0	0.0	0.0	True	False
ABCA9	3625.8	582.0	6377.0	0.0	4.254691	True	True
ABCB1	3727.5	461.0	5205.0	0.0	0.0	True	False
