PARK7	pb|PB.100.1|fullname,pb|PB.100.2|fullname,pb|PB.100.3|fullname,pb|PB.100.4|fullname,pb|PB.100.7|fullname,pb|PB.100.8|fullname
ZNF687	pb|PB.1000.1|fullname,pb|PB.1000.2|fullname,pb|PB.1000.4|fullname,pb|PB.1000.5|fullname,pb|PB.1000.6|fullname,pb|PB.1000.7|fullname
HOXC11	pb|PB.10000.1|fullname
HOXC10	pb|PB.10003.1|fullname,pb|PB.10003.2|fullname,pb|PB.10003.4|fullname
